timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599107840692,2222,Launch Home Page,200,OK,Thread Group 1-1,text,true,,20229,589,2,2,https://opensource-demo.orangehrmlive.com/,2221,0,1054
1599107842917,704,Get _csrf_token,200,OK,Thread Group 1-1,text,true,,20155,441,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,482,0,0
1599107841144,2634,Launch Home Page,200,OK,Thread Group 1-2,text,true,,20229,589,2,2,https://opensource-demo.orangehrmlive.com/,2414,0,677
1599107843780,689,Get _csrf_token,200,OK,Thread Group 1-2,text,true,,20155,441,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,472,0,0
1599107844472,1810,Login Admin Account  ,200,OK,Thread Group 1-2,text,true,,12267,1861,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,665,0,0
1599107844472,665,Login Admin Account  -0,302,Found,Thread Group 1-2,text,true,,1627,1021,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,665,0,0
1599107845138,1144,Login Admin Account  -1,200,OK,Thread Group 1-2,text,true,,10640,840,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,1143,0,0
1599107843624,5589,Login Admin Account  ,200,OK,Thread Group 1-1,text,true,,12268,1861,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,581,0,0
1599107843624,581,Login Admin Account  -0,302,Found,Thread Group 1-1,text,true,,1627,1021,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,581,0,0
1599107844206,5007,Login Admin Account  -1,200,OK,Thread Group 1-1,text,true,,10641,840,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,5007,0,0
1599107849351,2175,Launch Dashboard Page,200,OK,Thread Group 1-1,text,true,,10641,754,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,2175,0,0
1599107851566,3615,Launch PIM Page,200,OK,Thread Group 1-1,text,true,,14950,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,264,0,0
1599107851566,265,Launch PIM Page-0,302,Found,Thread Group 1-1,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,264,0,0
1599107851831,3350,Launch PIM Page-1,200,OK,Thread Group 1-1,text,true,,13411,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,3349,0,0
1599107846296,9680,Launch Dashboard Page,200,OK,Thread Group 1-2,text,true,,10640,754,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,9679,0,0
1599107855192,2115,Add Employee Page,200,OK,Thread Group 1-1,text,true,,10368,507,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,2115,0,0
1599107855977,2678,Launch PIM Page,200,OK,Thread Group 1-2,text,true,,14950,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,291,0,0
1599107855977,291,Launch PIM Page-0,302,Found,Thread Group 1-2,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,291,0,0
1599107856268,2387,Launch PIM Page-1,200,OK,Thread Group 1-2,text,true,,13411,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,2386,0,0
1599107857310,1690,Fill Employee Info,200,OK,Thread Group 1-1,text,true,,14572,586,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/110,1689,0,0
1599107858659,790,Add Employee Page,200,OK,Thread Group 1-2,text,true,,10369,507,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,789,0,0
1599107859493,808,View Personal Details Page,200,OK,Thread Group 1-1,text,true,,14572,773,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/110,808,0,0
1599107860307,607,View Job Details Page,200,OK,Thread Group 1-1,text,true,,15082,764,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/110,607,0,0
1599107859454,1608,Fill Employee Info,200,OK,Thread Group 1-2,text,true,,14574,586,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/111,1608,0,0
1599107861160,823,View Personal Details Page,200,OK,Thread Group 1-2,text,true,,14574,773,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/111,823,0,0
1599107860917,1372,Fill Job Details Info,200,OK,Thread Group 1-1,text,true,,16790,2412,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/110,356,0,0
1599107860917,357,Fill Job Details Info-0,302,Found,Thread Group 1-1,text,true,,1561,1814,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber,356,0,0
1599107861274,1015,Fill Job Details Info-1,200,OK,Thread Group 1-1,text,true,,15229,598,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/110,1014,0,0
1599107862292,546,Add Employee Page,200,OK,Thread Group 1-1,text,true,,10369,507,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,546,0,0
1599107861988,2218,View Job Details Page,200,OK,Thread Group 1-2,text,true,,15083,764,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/111,2217,0,0
1599107862842,1891,Fill Employee Info,200,OK,Thread Group 1-1,text,true,,14572,586,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/112,1890,0,0
1599107864209,1170,Fill Job Details Info,200,OK,Thread Group 1-2,text,true,,16790,2352,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/111,348,0,0
1599107864209,348,Fill Job Details Info-0,302,Found,Thread Group 1-2,text,true,,1561,1754,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber,348,0,0
1599107864557,822,Fill Job Details Info-1,200,OK,Thread Group 1-2,text,true,,15229,598,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/111,821,0,0
1599107864870,1062,View Personal Details Page,200,OK,Thread Group 1-1,text,true,,14572,773,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/112,1061,0,0
1599107865382,1892,Add Employee Page,200,OK,Thread Group 1-2,text,true,,10369,507,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,1891,0,0
1599107865936,2447,View Job Details Page,200,OK,Thread Group 1-1,text,true,,15082,764,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/112,2446,0,0
