timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599108308576,1411,Launch Home Page,200,OK,Thread Group 1-1,text,true,,20229,589,2,2,https://opensource-demo.orangehrmlive.com/,1410,0,683
1599108309077,1390,Launch Home Page,200,OK,Thread Group 1-2,text,true,,20229,589,2,2,https://opensource-demo.orangehrmlive.com/,1389,0,670
1599108310468,709,Get _csrf_token,200,OK,Thread Group 1-2,text,true,,20155,441,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,492,0,0
1599108309988,1227,Get _csrf_token,200,OK,Thread Group 1-1,text,true,,20155,441,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,502,0,0
1599108311178,1022,Login Admin Account  ,200,OK,Thread Group 1-2,text,true,,12268,1861,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,624,0,0
1599108311178,624,Login Admin Account  -0,302,Found,Thread Group 1-2,text,true,,1627,1021,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,624,0,0
1599108311802,398,Login Admin Account  -1,200,OK,Thread Group 1-2,text,true,,10641,840,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,398,0,0
1599108311216,1219,Login Admin Account  ,200,OK,Thread Group 1-1,text,true,,12269,1861,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,608,0,0
1599108311216,608,Login Admin Account  -0,302,Found,Thread Group 1-1,text,true,,1627,1021,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,608,0,0
1599108311824,611,Login Admin Account  -1,200,OK,Thread Group 1-1,text,true,,10642,840,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,610,0,0
1599108312207,323,Launch Dashboard Page,200,OK,Thread Group 1-2,text,true,,10641,754,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,322,0,0
1599108312539,571,Launch Dashboard Page,200,OK,Thread Group 1-1,text,true,,10642,754,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,571,0,0
1599108312532,917,Launch PIM Page,200,OK,Thread Group 1-2,text,true,,15373,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,277,0,0
1599108312532,277,Launch PIM Page-0,302,Found,Thread Group 1-2,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,277,0,0
1599108312809,640,Launch PIM Page-1,200,OK,Thread Group 1-2,text,true,,13834,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,639,0,0
1599108313112,962,Launch PIM Page,200,OK,Thread Group 1-1,text,true,,15374,1445,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,293,0,0
1599108313112,293,Launch PIM Page-0,302,Found,Thread Group 1-1,text,true,,1539,721,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,293,0,0
1599108313405,669,Launch PIM Page-1,200,OK,Thread Group 1-1,text,true,,13835,724,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,668,0,0
1599108313449,889,Get empsearch__csrf_token,200,OK,Thread Group 1-2,text,true,,13834,531,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,888,0,0
1599108314075,630,Get empsearch__csrf_token,200,OK,Thread Group 1-1,text,true,,13835,531,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,630,0,0
1599108314339,597,Search Employee,200,OK,Thread Group 1-2,text,true,,12008,1260,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,597,0,0
1599108314707,368,Search Employee,200,OK,Thread Group 1-1,text,true,,11883,1257,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,368,0,0
1599108314938,638,View Employee Info,200,OK,Thread Group 1-2,text,true,,14571,745,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployee/empNumber/134,637,0,0
